id,name,url_key,description,image,parent_id
2,"Default Category",default-category,,,1
4,"Motors, Electrical Equipment & Pressure Washer Frames ",motors-electrical-equipment-pressure-washer-frames,"Motors, Electrical Equipment & Pressure Washer Frames ",https://fusion.gspen.co.uk/media/catalog/category/Electrical_Test_Equipment_1.jpg,2
5,"High Pressure Hose Adaptors, Connectors & Swivels",high-pressure-hose-adaptors-connectors-and-swivels,"High Pressure Hose Adaptors, Connectors & Swivels",https://fusion.gspen.co.uk/media/catalog/category/hose_adaptors_connectors_1_1.jpg,2
6,"High Pressure Equipment & Spares",high-pressure-equipment,"High Pressure Equipment & Spares",,2
7,"Nozzles, Nozzle holders & Washing Accessories",nozzles-nozzle-holders-and-washing-accessories,"Nozzles, Nozzle holders & Washing Accessories",https://fusion.gspen.co.uk/media/catalog/category/Home_NWA_1.jpg,2
8,"Foam Equipment, Chemical Injectors & Accessories",foam-equipment-chemical-injectors-accessories,"Foam Equipment, Chemical Injectors & Accessories",,2
9,"High Pressure Hoses",high-pressure-hoses,"High Pressure Hoses",,2
10,"Guns, Lances & Accessories",guns-lances-and-accessories,"Guns, Lances & Accessories",https://fusion.gspen.co.uk/media/catalog/category/guns_lances_accessories_1.jpg,2
11,"Burner Equipment & Coils",burner-equipment-coils,"Burner Equipment & Coils",,2
12,"Vacuum  Spares & Accessories",vacuum-spares-and-accessories,"Vacuum  Spares & Accessories",,2
13,"Consumables, Tools & Safety wear ",consumables,"Consumables, Tools & Safety wear PPE",,2
16,"Karcher Spares",karcher-spares,,https://fusion.gspen.co.uk/media/catalog/category/Karcher_3.jpg,6
17,"Annovi Reverberi Pumps & Spares",annovi-reverberi-pump-and-spares,,https://fusion.gspen.co.uk/media/catalog/category/1707014_2.jpg,2478
18,"Comet Pumps & Spares",comet-equivalent-spares,,https://fusion.gspen.co.uk/media/catalog/category/comet_pump.jpg,2478
19,"Hawk Pumps & Spares",hawk-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/hawk_pump.jpg,2478
21,"Lavorwash Spares",lavorwash-spares,"Lavor pressure washer spares and parts available at G&S Penrith.",https://fusion.gspen.co.uk/media/catalog/category/lavor.jpg,6
23,"Site Cleaning Equipment & Car Wash Accessories",site-cleaning-equipment-and-car-wash-accessories,"Site Cleaning Equipment & Car Wash Accessories",https://fusion.gspen.co.uk/media/catalog/category/Carwash.jpg,2
24,"Turbo & Rotating Nozzles",turbo-rotating-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/200-357-530_4.jpg,7
25,"Karcher Equivalent Heating Coils",karcher-equivalent-heating-coils,,https://fusion.gspen.co.uk/media/catalog/category/heating_coils_1.jpg,1437
26,"Other Heating Coils",other-heating-coils,,https://fusion.gspen.co.uk/media/catalog/category/heating_coils_2.jpg,1437
28,"Suntec Fuel Pumps & Accessories",suntec-fuel-pumps-accessories,,https://fusion.gspen.co.uk/media/catalog/category/827-00.jpg,1436
30,"Rail Systems & ACCESSORIES",rail-systems-and-accessories,,https://fusion.gspen.co.uk/media/catalog/category/rail_systems.jpg,23
31,"Compartment Boxes",compartment-boxes,,https://fusion.gspen.co.uk/media/catalog/category/222.jpg,13
41,"Cables & Plugs",cables-plugs,,https://fusion.gspen.co.uk/media/catalog/category/IMG_0118_1__1.JPG,4
44,Swivels,swivels,,https://fusion.gspen.co.uk/media/catalog/category/Swivels.jpg,5
45,Adaptors,adaptors,,https://fusion.gspen.co.uk/media/catalog/category/adaptors_2.jpg,5
46,"Quick Screw Couplings",quick-screw-couplings,,https://fusion.gspen.co.uk/media/catalog/category/Quick_screw_coupling.jpg,5
47,"Quick Release Couplings",quick-release-couplings,,https://fusion.gspen.co.uk/media/catalog/category/Quick_release.jpg,5
48,"Unloader Valves",unloader-valves,,https://fusion.gspen.co.uk/media/catalog/category/533-31.jpg,6
49,"CAT Pumps & Spares",cat-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/cat_pumps.jpg,2478
50,"Speck Pumps & Spares",speck-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_17.jpg,2478
51,"Anti Vibration Mounts & Burst Discs",anti-vibration-mounts-burst-discs,,https://fusion.gspen.co.uk/media/catalog/category/Burst_and_mount.jpg,6
52,"1/4"" Male Nozzles",1-4-male-nozzles-by-spraying-systems,,https://fusion.gspen.co.uk/media/catalog/category/quarter_meg.png,1409
53,"Brushes & Poles",brushes-poles,,https://fusion.gspen.co.uk/media/catalog/category/gserieb.jpg,7
54,"Foam, Treble, Vario & Other Nozzles",foam-treble-vario-and-other-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/IMG_0444_1.jpg,7
55,"Surface Cleaners & Sand Blasters",rotary-cleaners,"whirlaway Style Surface Cleaners",https://fusion.gspen.co.uk/media/catalog/category/710_100_806.jpg,7
56,"Foam Heads & Lances",foam-heads-and-lances,,https://fusion.gspen.co.uk/media/catalog/category/200-175-414.jpg,8
57,"Chemical & Foam Injectors ",chemical-and-foam-injectors,,https://fusion.gspen.co.uk/media/catalog/category/200164600_1.jpg,8
58,"Foamers & Sprayers  ",sprayers-foamers,"Sprayers & Foamers",https://fusion.gspen.co.uk/media/catalog/category/106-024-550.jpg,8
59,"Suttner High Pressure Guns",suttner-high-pressure-guns,,https://fusion.gspen.co.uk/media/catalog/category/202-600-550_2_.jpg,2901
61,"Single Lances & Lance Pipes",single-lances-and-lance-pipes,,https://fusion.gspen.co.uk/media/catalog/category/070-010-009.jpg,2902
62,"Nozzle Holders & Protectors ",nozzle-holders-protectors,,https://fusion.gspen.co.uk/media/catalog/category/200_010_720.jpg,7
63,"Gun Inlet swivels",gun-inlet-swivels,,https://fusion.gspen.co.uk/media/catalog/category/200-300-010_1.jpg,10
65,"Delta Fuel Pumps & Accessories",delta-fuel-pumps-accessories,,https://fusion.gspen.co.uk/media/catalog/category/824-40_1.jpg,1436
66,"Transformers & Accessories",transformers-accessories,,https://fusion.gspen.co.uk/media/catalog/category/805-00.jpg,11
67,"Thermostats & Accessories",thermostats-accessories,,https://fusion.gspen.co.uk/media/catalog/category/910-16.jpg,11
68,"Hose Reels & Accessories",hose-reels-and-accessories,,https://fusion.gspen.co.uk/media/catalog/category/750-14_11.jpg,23
70,"Compression Pipes & Fittings",compression-pipes-and-fittings,,https://fusion.gspen.co.uk/media/catalog/category/Compression_pipe_1.jpg,23
71,"Vacuum Hoses",vacuum-hoses,,https://fusion.gspen.co.uk/media/catalog/category/264-048_2.jpg,12
72,Filters,filters,,https://fusion.gspen.co.uk/media/catalog/category/268-228-620.jpg,12
74,"Vacuum Motors",vacuum-motors,,https://fusion.gspen.co.uk/media/catalog/category/vac_motors.jpg,12
75,"Vacuum Bags",vacuum-bags,,https://fusion.gspen.co.uk/media/catalog/category/2681086-g.jpg,12
76,"Vacuum Spares",vacuum-spares,,https://fusion.gspen.co.uk/media/catalog/category/vacuum_accessories.jpg,12
77,"Jugs & Funnels",jugs-and-funnels,,https://fusion.gspen.co.uk/media/catalog/category/670019_1.jpg,13
78,"Pipe Clips & Hose Clamps",pipe-clips-and-hose-clamps,,https://fusion.gspen.co.uk/media/catalog/category/pipe_clips.jpg,13
79,"Nuts, bolts & Washers",nuts-bolts-and-washers,,https://fusion.gspen.co.uk/media/catalog/category/nut_2_3.jpg,13
80,"Safety Wear & P.P.E.",safety-wear-and-p-p-e,PPE,https://fusion.gspen.co.uk/media/catalog/category/956-122-501_2.jpg,13
81,"Low Pressure Equipment",low-pressure-equipment,"Low Pressure Equipment",https://fusion.gspen.co.uk/media/catalog/category/low_pressure_equipment.jpg,2
83,"150lb Stainless Steel Fittings",150lb-stainless-steel-fittings,,https://fusion.gspen.co.uk/media/catalog/category/ADP_hex_nipple_1.jpg,81
84,"Hozelock Style Fittings",hozelock-style-fittings,,https://fusion.gspen.co.uk/media/catalog/category/727-03.jpg,81
85,"Filters and Housings",filters-and-housings,,https://fusion.gspen.co.uk/media/catalog/category/Filters.jpg,81
88,"Guns & Lances ",guns-and-lances,,https://fusion.gspen.co.uk/media/catalog/category/Guns_lances_Brushes.jpg,81
90,Hosetails,hosetails,,https://fusion.gspen.co.uk/media/catalog/category/GSBT3434_W_1.jpg,81
91,"Interpump Pumps & Spares",interpump-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/series_47_1.jpg,2478
92,"Bertolini Pumps & Spares",bertolini-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/bertolini.jpg,2478
95,"PRESSURE Gauges & Accessories ",pressure-gauges-accessories,,https://fusion.gspen.co.uk/media/catalog/category/549-30.jpg,6
97,"Kranzle Spares",kranzle-spares,,https://fusion.gspen.co.uk/media/catalog/category/kranzle_2_1.jpg,6
98,"WAP Spares (KEW, ALTO, NILFISK)",wap-spares-kew-alto-nilfisk,,https://fusion.gspen.co.uk/media/catalog/category/WAP_2.jpg,6
99,"Udor Pumps & Spares",udor-pumps-spares,,https://fusion.gspen.co.uk/media/catalog/category/udor_pump.jpg,2478
100,"Special Offers & Clearance Items",special-offers-clearance-items,"Special Offers & Clearance Items",https://fusion.gspen.co.uk/media/catalog/category/sale_15.jpg,2
101,"Low Pressure Equipment",low-pressure-equipment,,,100
102,"Electrical Equipment",electrical-equipment,,,100
103,"Hose Adaptors & Connectors",hose-adaptors-connectors,,,100
104,"High Pressure Equipment",high-pressure-equipment,,,100
105,"Nozzles & Washing Accessories",nozzles-washing-accessories,,,100
106,"Foam Equipment & Accessories",foam-equipment-accessories,,,100
107,"High Pressure Hoses",high-pressure-hoses,,,100
109,"Burner Equipment & Coils",burner-equipment-coils,,,100
110,"Site Cleaning Equipment",site-cleaning-equipment,,,100
111,"Vacuum Cleaner Spares",vacuum-cleaner-spares,,,100
112,Consumables,consumables,,,100
113,"DN8 (5/16"") High Pressure Hose",high-pressure-hoses,,https://fusion.gspen.co.uk/media/catalog/category/364-100-310-9.jpg,2851
114,"Sewer Hoses, Reels & Accessories",sewer-hoses-reels-accessories,,https://fusion.gspen.co.uk/media/catalog/category/420-301-010.jpg,9
117,"DN16 (5/8"") High Pressure Hose",dn16-5-8-high-pressure-hose,,https://fusion.gspen.co.uk/media/catalog/category/371-158-020.jpg,2851
119,"DN12 (1/2"") High Pressure Hose",dn12-1-2-high-pressure-hose,,https://fusion.gspen.co.uk/media/catalog/category/332-100-510-7.jpg,2851
120,"DN6 (1/4"") High Pressure Hose",dn6-1-4-high-pressure-hose,,https://fusion.gspen.co.uk/media/catalog/category/361-100-610.jpg,2851
122,"DN10 (3/8"") High Pressure Hose",dn10-3-8,,https://fusion.gspen.co.uk/media/catalog/category/359-100-410-7.jpg,2851
123,"Barrel Pumps, Taps & miscellaneous Items",barrel-pumps-taps-and-miscellaneous-items,,https://fusion.gspen.co.uk/media/catalog/category/untitled_7_24.jpg,81
124,"Thread Seal",thread-seal,,https://fusion.gspen.co.uk/media/catalog/category/Thread_seal.jpg,5
125,"Lubricants & miscellaneous Items",lubricants-miscellaneous-items,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_22.jpg,13
127,"Nicolini Electric Motors",nicolini-electric-motors,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_solid_shaft_1.jpg,4
130,"High Pressure & Vacuum Booms",high-pressure-vacuum-booms,,https://fusion.gspen.co.uk/media/catalog/category/boom.jpg,23
132,"Plastic Hosetails and Adaptors",plastic-hosetails-and-adaptors,,https://fusion.gspen.co.uk/media/catalog/category/Untitled_5_2.jpg,90
134,"ST85 Push & Pull Lance",st85-push-and-pull-lance,,https://fusion.gspen.co.uk/media/catalog/category/200-085-610-k-02.jpg,2902
139,"Nito Products",nito-products,,https://fusion.gspen.co.uk/media/catalog/category/64600A3.JPG,81
140,"Tema Couplings",tema-couplings,,https://fusion.gspen.co.uk/media/catalog/category/tema_1_1.jpg,47
144,"1/4"" male Nozzles",1-8-male-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/quarter_lechler.jpg,1414
145,"Sewer Nozzles OLD",sewer-nozzles,,https://fusion.gspen.co.uk/media/catalog/category/65197.jpg,7
147,"Car Wash Equipment",car-wash-equipment,,https://fusion.gspen.co.uk/media/catalog/category/106-995-586.jpg,23
148,"Ball Valves",ball-valves,,https://fusion.gspen.co.uk/media/catalog/category/lever_handle_3_2.jpg,23
149,"Vacuum to hose coupling (Tank sleeve)",vacuum-to-hose-coupling-tank-sleeve,,https://fusion.gspen.co.uk/media/catalog/category/265-051_-_Copy.jpg,12
